tournament_year;stage;player_1name;player_2name;player_1score;player_2score
2022;FINAL;Smith M.;Wright P.;5.0;7.0
2022;SEMI-FINALS;Wright P.;Anderson G.;6.0;4.0
2022;SEMI-FINALS;Smith M.;Wade J.;6.0;3.0
2022;QUARTER-FINALS;Price G.;Smith M.;4.0;5.0
2022;QUARTER-FINALS;Wright P.;Rydz C.;5.0;4.0
2022;QUARTER-FINALS;Humphries L.;Anderson G.;2.0;5.0
2022;QUARTER-FINALS;Wade J.;King M.;5.0;0.0
2022;1/8-FINALS;Wright P.;Searle R.;4.0;1.0
2022;1/8-FINALS;Anderson G.;Cross R.;4.0;3.0
2022;1/8-FINALS;Wade J.;Kleermaker M.;4.0;0.0
2022;1/8-FINALS;Dobey C.;Humphries L.;3.0;4.0
2022;1/8-FINALS;Soutar A.;Rydz C.;1.0;4.0
2022;1/8-FINALS;Smith R.;King M.;3.0;4.0
2022;1/8-FINALS;Clayton J.;Smith M.;3.0;4.0
2022;1/8-FINALS;Price G.;van Duijvenbode D.;4.0;1.0
2022;1/16-FINALS;Anderson G.;White I.;4.0;3.0
2022;1/16-FINALS;Aspinall N.;Rydz C.;0.0;4.0
2022;1/16-FINALS;Chisnall D.;Humphries L.;;
2022;1/16-FINALS;de Sousa J.;Soutar A.;3.0;4.0
2022;1/16-FINALS;van Gerwen M.;Dobey C.;;
2022;1/16-FINALS;Wright P.;Heta D.;4.0;2.0
2022;1/16-FINALS;Cross R.;Gurney D.;4.0;3.0
2022;1/16-FINALS;Cullen J.;Kleermaker M.;3.0;4.0
2022;1/16-FINALS;Searle R.;Noppert D.;4.0;2.0
2022;1/16-FINALS;Lennon S.;King M.;0.0;4.0
2022;1/16-FINALS;Clayton J.;Clemens G.;4.0;0.0
2022;1/16-FINALS;Price G.;Huybrechts K.;4.0;3.0
2022;1/16-FINALS;Wade J.;Van der Voort V.;;
2022;1/16-FINALS;Hempel F.;Smith R.;1.0;4.0
